"price_eur","car_model","mileage_km","year_first_registration","seller_name","car_link","scrapedate"
"€ 28,880.-","Volkswagen ID.4 Pro Performance LED 19"" NAVI PDC","17,000 km","11/2021","Autohaus Faust GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-led-19-navi-pdc-electric-grey-ace4f9bc-62d3-415e-9a83-546cf484ef31","2024-12-10"
"€ 33,500.-","Volkswagen ID.4 ID.4 Performance Upgrade Pro","1,000 km","12/2022",NA,"https://www.autoscout24.com/offers/volkswagen-id-4-id-4-performance-upgrade-pro-electric-white-0cd75690-fcc0-44c3-a77d-0bfbd4ad38a9","2024-12-10"
"€ 33,990.-","Volkswagen ID.4 Performance Komfort und  Infotainment-Paket","9,990 km","08/2023","Autohaus Glinicke GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-performance-komfort-und-infotainment-paket-electric-white-45b2b4e3-b429-4c31-8727-0e5ce7ac93cd","2024-12-10"
"€ 29,980.-","Volkswagen ID.4 Elektro Pro Performance Matrix/NAV/ACC/SH","28,630 km","12/2021","Fischer Automobile Amberg GmbH & Co.KG","https://www.autoscout24.com/offers/volkswagen-id-4-elektro-pro-performance-matrix-nav-acc-sh-electric-grey-bfd0e370-bdba-4f37-9330-1f92de78d6dd","2024-12-10"
"€ 36,900.-","Volkswagen ID.4 Pro S 4Motion, Panorama SH ACC Parkpilot","22,480 km","03/2023","Road Track Motors","https://www.autoscout24.com/offers/volkswagen-id-4-pro-s-4motion-panorama-sh-acc-parkpilot-electric-black-2feb1e66-186b-455c-87ee-f7ee539698da","2024-12-10"
"€ 31,470.-","Volkswagen ID.4 Pro Performance LED Navi BT AHK Klima PDCv+h","13,100 km","09/2022","Autohaus Rudolph Leuna GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-led-navi-bt-ahk-klima-pdcv-h-electric-grey-6172f750-5202-48ea-a1d7-29a62308ee41","2024-12-10"
"€ 23,970.-","Volkswagen ID.4 NAVI*SHZ*ACC*LED Pure 109 kW City","27,227 km","08/2021","Volkswagen Zentrum Aachen","https://www.autoscout24.com/offers/volkswagen-id-4-navi-shz-acc-led-pure-109-kw-city-electric-grey-037ca97b-ecb4-4587-b633-831acf55d889","2024-12-10"
"€ 33,970.-","Volkswagen ID.4 PRO PERFORMANCE 150KW//77kWh WÄRMEPUMPE LED","2,500 km","01/2023","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-150kw-77kwh-waermepumpe-led-electric-silver-67f84488-6ece-4938-a285-e3d6f4aae759","2024-12-10"
"€ 27,970.-","Volkswagen ID.4 Pro Performance NAVI*LED*APP*82KWH 150 kW","39,470 km","09/2021","Jacobs automobile GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-navi-led-app-82kwh-150-kw-electric-grey-9436a212-0067-4f52-b85c-2241b0e5ddbb","2024-12-10"
"€ 22,790.-","Volkswagen ID.4 PURE AHK NAVI LED APP-CONNECT PDC+","27,019 km","08/2021","Tiemeyer automobile GmbH & Co. KG","https://www.autoscout24.com/offers/volkswagen-id-4-pure-ahk-navi-led-app-connect-pdc-electric-grey-62c31d9e-beb7-4187-9892-7acc757443de","2024-12-10"
"€ 32,900.-","Volkswagen ID.4 Pro Performance  AHK Navi LED ACC","21,718 km","02/2023","Autohaus Gehlert GmbH & Co.KG","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-ahk-navi-led-acc-electric-red-37b37fcb-7bcd-4146-b65e-bd469ef42b52","2024-12-10"
"€ 35,750.-","Volkswagen ID.4 Pro Performance Wärmepumpe Infotainment","11,020 km","04/2023","Volkswagen Automobile Berlin GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-waermepumpe-infotainment-electric-black-c2c7cdf7-4efb-4e3e-b507-461cc9494881","2024-12-10"
"€ 25,990.-","Volkswagen ID.4 Pro Performance Navigation Einparkhilfe","36,539 km","08/2021","Gottfried Schultz Automobilhandels SE","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-navigation-einparkhilfe-electric-grey-502af294-aaa8-4004-9276-f8725c29fa76","2024-12-10"
"€ 28,490.-","Volkswagen ID.4 Pro Performance+AHK+LED+NAVI+MEMORY+MASSAGE","72,928 km","02/2022","Auto-Ringler-Service GmbH","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-ahk-led-navi-memory-massage-electric-white-191389b3-316a-405d-8c93-1b2e442b5e67","2024-12-10"
"€ 23,580.-","Volkswagen ID.4 Pro Performance 150 kW * 1.HAND * NAVI *AHK","100,000 km","12/2021","UG - Automobile","https://www.autoscout24.com/offers/volkswagen-id-4-pro-performance-150-kw-1-hand-navi-ahk-electric-grey-aaaba350-ccd1-49ad-91e4-02eae8cf0b6d","2024-12-10"
